Platform Name,Courses with highest price(in tk),Courses with lowest price(in tk),Facebook,You Tube,Financier
Robi 10 minutes school,3000,450,1800000,1850000,Local market finance
Bright Skills,5000,750,5000,2000,
Amar iSchool -,15000,500,32000,1690,Own finance
Amar Pathshala,9256,500,34,44600,Own finance
BacBon School,5000,500,15000,33,Own finance
Bdjobs Learning,5000,1000,811147,7870,Own finance
Bidyapeet,8500,500,1192,3,Own finance
Bohubrihi,10000,300,80247,9220,Own finance
Bondhi Pathshala,3000,500,394000,285390,Own finance
Bongo Academy,1460,1150,5416,285390,Own finance
BYLCx,9256,1880,170914,285390,Own finance
Code Man BD,6000,3000,27294,8930,Own finance
Course Bee,3000,3000,171474,285390,
CourseCab,900,200,11696,285390,Own finance
Digital Study Room,800,150,141,285390,Own finance
EduEra,9999,99,1035,204,Own finance
EduTube BD,9256,1880,229940,236000,Own finance
e learning school bd,350,200,104487,875,Own finance
eShikhon.com,3990,290,662536,87400,Own finance
Ghoori Learning,1149,199,260672,16700,foreign venture capital
GoEdu,3000,99,448,90,Own finance
iLive Community,20000,5200,4173,,Own finance
Instructory,9000,3000,147380,3760,Own finance
Interactive Cares,5000,200,299352,1450,Local market finance
Khan Academy,9256,1880,1600000,6840000,foreign venture capital
Learn with Hasin Hyder,6000,300,21460,282000,Own finance
Learning Bangladesh,15000,100,41662,6500,Own finance
Mashtor,50800,5062,189,428,Own finance
Master Course,6000,4000,171474,506,Own finance
Mentorian,2500,550,6449,,Own finance
msb Academy,9000,1000,171474,4830,Own finance
Muntasir Mahdi,1315,499,171474,,Own finance
Onnorokom Pathshala,9256,1880,121633,652000,Own finance
Opportunities for Kids,9256,1880,14000,1040,Own finance
Ostad,3500,1000,44243,,Own finance
Our Professors,12000,1000,7728,860,Own finance
passive journel university,15000,1880,171474,402000,Own finance
Problemkiacademy,7000,1000,171474,118000,Own finance
Quick Team Academy,499,200,6116,119000,Own finance
Repto,10000,100,82382,49200,Local market finance
Shikkhok. com,9256,1880,607,3490,Own finance
Shikun,9256,1880,26600,29900,Local market finance
SP Cloud Academy,20000,2000,1090,205,Own finance
Stack Learner,75000,35000,38516,63200,Own finance
Teach It,50,1880,19927,,Own finance
TESOL Bangladesh,4000,1200,2060,11000,Own finance
Thriving Skills,2000,419,32465,423,Own finance
Udvash-Unmesh-Uttoron,21000,3000,539696,204000,Own finance
Upskill,250,250,11447,603,Local market finance
Userhub,36000,18000,30239,285390,Own finance
We Make Pro,25000,899,4612,317,Own finance
